,region_from,region_to,eora,baseline,eora/baseline
0,USA,USA-OTH,27731120128.0,na,na
1,USA,CHN,134060272.0,367139.99400000006,365.14755731025036
2,USA,EUR,464329472.0,na,na
3,USA,DEU,96889536.0,208839.68900000004,463.94215804448925
4,USA,MEX,182933552.0,501156.0050000001,365.023166788154
5,USA,CAN,377091040.0,951651.6610000002,396.24902204631354
6,USA-OTH,USA,27731124224.0,na,na
7,USA-OTH,CHN,118886048.0,na,na
8,USA-OTH,EUR,411772224.0,na,na
9,USA-OTH,DEU,85922632.0,na,na
10,USA-OTH,MEX,162227360.0,na,na
11,USA-OTH,CAN,334408224.0,na,na
12,CHN,USA,374783552.0,1026738.1380000002,365.0235031982419
13,CHN,USA-OTH,332361920.0,na,na
14,CHN,EUR,474596544.0,na,na
15,CHN,DEU,120502432.0,264844.878,454.99249564494124
16,CHN,MEX,26250328.0,71855.01400000002,365.3235388695351
17,CHN,CAN,53532892.0,136540.41700000004,392.06627001878854
18,EUR,USA,634645056.0,na,na
19,EUR,USA-OTH,562809792.0,na,na
20,EUR,CHN,432515712.0,na,na
21,EUR,DEU,7154856960.0,na,na
22,EUR,MEX,70686200.0,na,na
23,EUR,CAN,96838368.0,na,na
24,DEU,USA,174664544.0,409642.966,426.38238294564053
25,DEU,USA-OTH,154894320.0,na,na
26,DEU,CHN,144965840.0,324381.1200000001,446.89974558321995
27,DEU,EUR,7328726528.0,na,na
28,DEU,MEX,18516998.0,40894.79400000001,452.79597202519216
29,DEU,CAN,21416328.0,45759.48500000001,468.01942810326636
30,MEX,USA,283285824.0,776074.7260000003,365.02390106181593
31,MEX,USA-OTH,251220800.0,na,na
32,MEX,CHN,5166635.5,13973.583000000004,369.7430716230761
33,MEX,EUR,22595260.0,na,na
34,MEX,DEU,4743730.5,10022.897000000003,473.2893593538873
35,MEX,CAN,22371688.0,56682.52100000001,394.6840684802992
36,CAN,USA,477152864.0,1228957.1490000002,388.25834113765336
37,CAN,USA-OTH,423144128.0,na,na
38,CAN,CHN,28682020.0,73148.95600000002,392.104297428387
39,CAN,EUR,47927088.0,na,na
40,CAN,DEU,10432530.0,21104.080000000005,494.33711396090223
41,CAN,MEX,12013757.0,30485.552000000007,394.08034993100983
42,US.NJ,USA,1003276864.0,na,na
43,US.NJ,USA-OTH,889716288.0,na,na
44,US.NJ,CHN,4301147.0,na,na
45,US.NJ,EUR,14897399.0,na,na
46,US.NJ,DEU,3108572.5,na,na
47,US.NJ,MEX,5869181.0,na,na
48,US.NJ,CAN,12098469.0,na,na
49,US.NJ,US.NY,81371776.0,na,na
50,US.NY,USA,2536236288.0,na,na
51,US.NY,USA-OTH,2249160448.0,na,na
52,US.NY,CHN,10873094.0,na,na
53,US.NY,EUR,37659920.0,na,na
54,US.NY,DEU,7858323.0,na,na
55,US.NY,MEX,14837010.0,na,na
56,US.NY,CAN,30584350.0,na,na
57,US.NY,US.NJ,81371776.0,na,na
58,USA,US.NJ,1003276864.0,na,na
59,USA,US.NY,2536236032.0,na,na
60,USA-OTH,US.NJ,889716352.0,na,na
61,USA-OTH,US.NY,2249160448.0,na,na
62,CHN,US.NJ,12024434.0,na,na
63,CHN,US.NY,30397194.0,na,na
64,EUR,US.NJ,20361746.0,na,na
65,EUR,US.NY,51473524.0,na,na
66,DEU,US.NJ,5603881.0,na,na
67,DEU,US.NY,14166342.0,na,na
68,MEX,US.NJ,9088851.0,na,na
69,MEX,US.NY,22976182.0,na,na
70,CAN,US.NJ,15308820.0,na,na
71,CAN,US.NY,38699964.0,na,na
72,US.NJ,US.NY,81371776.0,na,na
73,US.NY,US.NJ,81371776.0,na,na
